x1 x2 x3 x4
0.27665469 0.24489375 0.22953774 0.24891382
0.27659446 0.24494953 0.22953232 0.24892368
0.27653403 0.24500536 0.22952706 0.24893356
0.27647340 0.24506124 0.22952194 0.24894343
0.27641256 0.24511716 0.22951697 0.24895332
0.27635151 0.24517313 0.22951215 0.24896321
0.27629026 0.24522915 0.22950748 0.24897311
0.27622882 0.24528521 0.22950296 0.24898302
0.27616716 0.24534132 0.22949859 0.24899293
0.27610531 0.24539748 0.22949437 0.24900285
0.27604325 0.24545368 0.22949029 0.24901277
0.27598100 0.24550992 0.22948637 0.24902271
0.27591854 0.24556621 0.22948260 0.24903265
0.27585588 0.24562254 0.22947898 0.24904259
0.27579303 0.24567891 0.22947551 0.24905254
0.27572997 0.24573533 0.22947219 0.24906250
0.27566672 0.24579179 0.22946902 0.24907247
0.27560327 0.24584829 0.22946600 0.24908244
0.27553962 0.24590483 0.22946314 0.24909241
0.27547577 0.24596142 0.22946042 0.24910240
0.27541173 0.24601804 0.22945785 0.24911238
0.27534749 0.24607470 0.22945543 0.24912238
0.27528306 0.24613141 0.22945316 0.24913238
0.27521843 0.24618815 0.22945104 0.24914238
0.27515360 0.24624493 0.22944907 0.24915239
0.27508859 0.24630175 0.22944725 0.24916241
0.27502337 0.24635861 0.22944558 0.24917243
0.27495797 0.24641551 0.22944407 0.24918246
0.27489237 0.24647244 0.22944270 0.24919249
0.27482658 0.24652941 0.22944148 0.24920252
0.27476060 0.24658642 0.22944041 0.24921257
0.27469443 0.24664346 0.22943950 0.24922261
0.27462807 0.24670054 0.22943873 0.24923267
0.27456151 0.24675765 0.22943811 0.24924272
0.27449477 0.24681480 0.22943765 0.24925278
0.27442784 0.24687198 0.22943733 0.24926285
0.27436072 0.24692920 0.22943717 0.24927292
0.27429341 0.24698644 0.22943715 0.24928299
0.27422592 0.24704373 0.22943729 0.24929307
0.27415823 0.24710104 0.22943757 0.24930315
0.27409037 0.24715839 0.22943801 0.24931324
0.27402231 0.24721576 0.22943859 0.24932333
0.27395407 0.24727317 0.22943933 0.24933343
0.27388564 0.24733061 0.22944021 0.24934353
0.27381704 0.24738808 0.22944125 0.24935363
0.27374824 0.24744558 0.22944244 0.24936374
0.27367927 0.24750311 0.22944377 0.24937385
0.27361011 0.24756067 0.22944526 0.24938396
0.27354076 0.24761826 0.22944690 0.24939408
0.27347124 0.24767587 0.22944868 0.24940420
0.27340154 0.24773352 0.22945062 0.24941433
0.27333165 0.24779119 0.22945271 0.24942446
0.27326158 0.24784888 0.22945494 0.24943459
0.27319134 0.24790661 0.22945733 0.24944472
0.27312092 0.24796436 0.22945987 0.24945486
0.27305031 0.24802213 0.22946256 0.24946500
0.27297953 0.24807993 0.22946539 0.24947514
0.27290857 0.24813775 0.22946838 0.24948529
0.27283744 0.24819560 0.22947152 0.24949544
0.27276613 0.24825348 0.22947481 0.24950559
0.27269464 0.24831137 0.22947825 0.24951574
0.27262298 0.24836929 0.22948183 0.24952590
0.27255114 0.24842723 0.22948557 0.24953606
0.27247913 0.24848519 0.22948946 0.24954622
0.27240695 0.24854318 0.22949350 0.24955638
0.27233459 0.24860118 0.22949768 0.24956655
0.27226206 0.24865921 0.22950202 0.24957672
0.27218935 0.24871725 0.22950651 0.24958688
0.27211648 0.24877532 0.22951114 0.24959706
0.27204344 0.24883341 0.22951593 0.24960723
0.27197022 0.24889151 0.22952087 0.24961740
0.27189684 0.24894963 0.22952595 0.24962758
0.27182328 0.24900777 0.22953119 0.24963776
0.27174956 0.24906593 0.22953657 0.24964794
0.27167567 0.24912410 0.22954211 0.24965812
0.27160161 0.24918230 0.22954779 0.24966830
0.27152739 0.24924050 0.22955362 0.24967848
0.27145300 0.24929873 0.22955961 0.24968867
0.27137844 0.24935696 0.22956574 0.24969886
0.27130372 0.24941522 0.22957202 0.24970904
0.27122883 0.24947348 0.22957845 0.24971923
0.27115378 0.24953177 0.22958503 0.24972942
0.27107857 0.24959006 0.22959176 0.24973961
